Tipo;Producto;AlfaBeta;Troquel;CodBarraPrinc;Laboratorio;Precio;Neto;CadenaFrio;RequiereVale;Trazable
P;BY SHAKIRA EXH (4 EDTX80+4 EDTX50+2PROB);;P30000594;8411061768693;www.puigargentinasa.com;710,07;1;0;0;0
P;BY SHAKIRA FLORALE ( EDT X 80+ DEO X 150 );;P30001132;8411061767276;www.puigargentinasa.com;104,42;1;0;0;0
P;C.CIENTIFICA VITHELIUM HIP NUT ANT(21)X 50;;P10001442;7798052948939;WWW.CARMESI.COM.AR;47,32;1;0;0;0
P;C.CIENTIFICA VIVICEL P CR U-NUT DIA(30)X 50;;P10001443;7798052948953;WWW.CARMESI.COM.AR;43,91;1;0;0;0
P;C.KLEIN BE EDT X 100 ML;;P10004014;88300104406;www.puigargentinasa.com;227,81;1;0;0;0
P;C.KLEIN BE EDT X 200 ML;;P10004097;088300104437;www.puigargentinasa.com;278,43;1;0;0;0
P;C.KLEIN ESCAPE EDP X 100 ML;;P10004052;88300108404;www.puigargentinasa.com;322,73;1;0;0;0
P;C.KLEIN ESCAPE EDP X 50 ML;;P10004021;88300108305;www.puigargentinasa.com;249,96;1;0;0;0
P;C.KLEIN ESCAPE F-MEN EDT X 100 ML;;P10004076;88300100514;www.puigargentinasa.com;303,75;1;0;0;0
P;C.KLEIN ESCAPE F-MEN EDT X 50 ML;;P10004017;88300100507;www.puigargentinasa.com;230,97;1;0;0;0
P;C.KLEIN ETER.SUMMER EDP X 100 ML;;P10004084;088300188680;www.puigargentinasa.com;265,13;1;0;0;0
P;C.KLEIN ETERNITY EDP X 100 ML;;P10004075;088300101405;www.puigargentinasa.com;325,90;1;0;0;0
P;C.KLEIN ETERNITY EDP X 50 ML;;P10004022;88300101306;www.puigargentinasa.com;246,78;1;0;0;0
P;C.KLEIN ETERNITY F-MEN EDT X 100 ML;;P10004050;88300105519;www.puigargentinasa.com;294,25;1;0;0;0
P;C.KLEIN ETERNITY F-MEN EDT X 50 ML;;P10004046;88300105304;www.puigargentinasa.com;227,81;1;0;0;0
P;C.KLEIN ETERNITY MEN ( EDTX100+AF.SHX100);;P10004104;088300186839;www.puigargentinasa.com;236,73;1;0;0;0
P;C.KLEIN EUPHO BLOSSO F-W (EDT50+B.LOT100);;P10004108;088300194209;www.puigargentinasa.com;179,97;1;0;0;0
P;C.KLEIN EUPHORIA EDP X 100 ML;;P10004103;88300162505;www.puigargentinasa.com;341,72;1;0;0;0
P;C.KLEIN EUPHORIA EDP X 50 ML;;P10004066;88300162543;www.puigargentinasa.com;272,11;1;0;0;0
P;C.KLEIN EUPHORIA EDT X 100 ML;;P10004087;88300178278;www.puigargentinasa.com;294,25;1;0;0;0
P;C.KLEIN EUPHORIA F-MEN ( EDT X 100+ DEO);;P10004110;088300194322;www.puigargentinasa.com;257,50;1;0;0;0
P;C.KLEIN EUPHORIA F-MEN EDT X 50 ML;;P10004058;88300178315;www.puigargentinasa.com;224,64;1;0;0;0
